threshold,match count,matched number,True Positive,False Positive
0.5,958,"[[1, 1], [1, 40], [1, 45], [2, 2], [2, 4], [2, 6], [2, 11], [2, 13], [2, 14], [2, 15], [2, 21], [2, 23], [2, 26], [2, 28], [2, 29], [2, 32], [2, 34], [2, 35], [2, 36], [2, 37], [2, 42], [2, 43], [3, 2], [3, 3], [3, 4], [3, 10], [3, 11], [3, 12], [3, 13], [3, 14], [3, 18], [3, 23], [3, 27], [3, 28], [3, 29], [3, 30], [3, 32], [3, 33], [3, 34], [3, 35], [3, 37], [3, 38], [3, 39], [3, 40], [3, 47], [4, 2], [4, 3], [4, 4], [4, 6], [4, 7], [4, 9], [4, 10], [4, 11], [4, 13], [4, 14], [4, 15], [4, 17], [4, 18], [4, 20], [4, 21], [4, 23], [4, 26], [4, 28], [4, 30], [4, 32], [4, 33], [4, 35], [4, 36], [4, 37], [4, 38], [4, 39], [4, 40], [4, 43], [4, 45], [4, 47], [5, 5], [5, 7], [5, 11], [5, 12], [5, 14], [5, 18], [5, 24], [5, 27], [5, 30], [5, 32], [5, 38], [5, 44], [5, 47], [6, 2], [6, 4], [6, 6], [6, 9], [6, 10], [6, 15], [6, 17], [6, 18], [6, 19], [6, 21], [6, 26], [6, 28], [6, 29], [6, 32], [6, 35], [6, 36], [6, 37], [6, 39], [6, 42], [6, 43], [6, 50], [7, 5], [7, 7], [7, 10], [7, 13], [7, 14], [7, 18], [7, 24], [7, 28], [7, 32], [7, 34], [7, 37], [7, 38], [7, 39], [7, 45], [7, 46], [7, 47], [7, 49], [8, 8], [8, 15], [8, 16], [8, 17], [8, 19], [8, 26], [8, 35], [8, 36], [8, 41], [8, 43], [8, 48], [9, 4], [9, 6], [9, 9], [9, 10], [9, 13], [9, 14], [9, 15], [9, 17], [9, 18], [9, 21], [9, 26], [9, 28], [9, 37], [9, 38], [9, 39], [9, 43], [9, 45], [10, 2], [10, 3], [10, 4], [10, 6], [10, 7], [10, 9], [10, 10], [10, 11], [10, 12], [10, 13], [10, 14], [10, 15], [10, 17], [10, 18], [10, 20], [10, 21], [10, 23], [10, 24], [10, 26], [10, 27], [10, 28], [10, 30], [10, 32], [10, 33], [10, 35], [10, 37], [10, 38], [10, 39], [10, 42], [10, 43], [10, 45], [10, 47], [10, 49], [11, 4], [11, 11], [11, 13], [11, 20], [11, 23], [11, 27], [11, 33], [11, 37], [11, 38], [11, 39], [11, 40], [11, 41], [12, 4], [12, 5], [12, 10], [12, 12], [12, 14], [12, 15], [12, 17], [12, 18], [12, 20], [12, 22], [12, 26], [12, 27], [12, 28], [12, 31], [12, 32], [12, 35], [12, 37], [12, 38], [12, 39], [12, 41], [12, 43], [12, 45], [12, 46], [12, 47], [12, 49], [13, 2], [13, 3], [13, 4], [13, 7], [13, 9], [13, 10], [13, 13], [13, 14], [13, 18], [13, 20], [13, 23], [13, 26], [13, 28], [13, 30], [13, 33], [13, 37], [13, 38], [13, 39], [13, 40], [13, 44], [13, 45], [13, 47], [14, 1], [14, 3], [14, 4], [14, 5], [14, 6], [14, 7], [14, 9], [14, 10], [14, 11], [14, 12], [14, 13], [14, 14], [14, 15], [14, 17], [14, 18], [14, 20], [14, 21], [14, 23], [14, 24], [14, 26], [14, 28], [14, 29], [14, 30], [14, 32], [14, 33], [14, 35], [14, 36], [14, 37], [14, 38], [14, 39], [14, 43], [14, 44], [14, 45], [14, 46], [14, 47], [14, 49], [15, 6], [15, 9], [15, 10], [15, 14], [15, 15], [15, 17], [15, 21], [15, 26], [15, 28], [15, 35], [15, 38], [15, 39], [15, 42], [15, 43], [15, 44], [16, 8], [16, 11], [16, 16], [16, 17], [16, 19], [16, 21], [16, 28], [16, 29], [16, 41], [16, 42], [16, 50], [17, 4], [17, 5], [17, 6], [17, 10], [17, 12], [17, 14], [17, 15], [17, 16], [17, 17], [17, 20], [17, 21], [17, 22], [17, 25], [17, 26], [17, 29], [17, 35], [17, 36], [17, 37], [17, 38], [17, 39], [17, 42], [17, 43], [17, 45], [17, 49], [18, 2], [18, 3], [18, 4], [18, 5], [18, 7], [18, 8], [18, 9], [18, 10], [18, 11], [18, 12], [18, 13], [18, 14], [18, 18], [18, 20], [18, 23], [18, 24], [18, 26], [18, 27], [18, 28], [18, 32], [18, 33], [18, 34], [18, 35], [18, 37], [18, 38], [18, 39], [18, 40], [18, 45], [18, 46], [18, 47], [18, 49], [19, 6], [19, 8], [19, 10], [19, 19], [19, 21], [19, 23], [19, 26], [19, 28], [19, 35], [19, 41], [19, 42], [19, 43], [19, 48], [19, 50], [20, 4], [20, 10], [20, 11], [20, 12], [20, 13], [20, 14], [20, 15], [20, 17], [20, 18], [20, 20], [20, 26], [20, 28], [20, 30], [20, 33], [20, 35], [20, 38], [20, 39], [20, 40], [20, 44], [20, 45], [20, 47], [20, 49], [21, 4], [21, 6], [21, 9], [21, 10], [21, 14], [21, 15], [21, 17], [21, 19], [21, 21], [21, 26], [21, 28], [21, 35], [21, 37], [21, 38], [21, 39], [21, 42], [21, 43], [21, 48], [22, 3], [22, 11], [22, 12], [22, 13], [22, 17], [22, 22], [22, 33], [22, 34], [22, 35], [22, 38], [22, 40], [22, 42], [22, 45], [22, 47], [22, 49], [23, 2], [23, 3], [23, 4], [23, 18], [23, 23], [23, 28], [23, 32], [23, 34], [23, 38], [23, 42], [24, 5], [24, 7], [24, 10], [24, 11], [24, 14], [24, 20], [24, 21], [24, 24], [24, 27], [24, 28], [24, 31], [24, 34], [24, 38], [24, 44], [24, 45], [24, 46], [24, 47], [24, 50], [25, 12], [25, 14], [25, 17], [25, 25], [25, 27], [25, 29], [25, 30], [25, 31], [25, 35], [25, 39], [26, 4], [26, 6], [26, 8], [26, 9], [26, 10], [26, 13], [26, 14], [26, 15], [26, 17], [26, 18], [26, 19], [26, 21], [26, 23], [26, 26], [26, 27], [26, 28], [26, 32], [26, 35], [26, 36], [26, 37], [26, 38], [26, 39], [26, 42], [26, 43], [26, 45], [26, 49], [27, 5], [27, 11], [27, 12], [27, 18], [27, 24], [27, 25], [27, 26], [27, 27], [27, 32], [27, 33], [27, 34], [27, 36], [27, 37], [27, 39], [27, 43], [27, 45], [27, 46], [27, 47], [27, 50], [28, 2], [28, 3], [28, 4], [28, 6], [28, 9], [28, 10], [28, 12], [28, 13], [28, 14], [28, 18], [28, 21], [28, 23], [28, 24], [28, 26], [28, 28], [28, 32], [28, 33], [28, 35], [28, 36], [28, 37], [28, 38], [28, 39], [28, 40], [28, 43], [28, 45], [28, 46], [28, 47], [28, 49], [29, 2], [29, 15], [29, 17], [29, 23], [29, 29], [29, 35], [29, 37], [29, 42], [30, 13], [30, 14], [30, 20], [30, 30], [30, 38], [30, 39], [30, 40], [30, 45], [31, 7], [31, 10], [31, 12], [31, 14], [31, 15], [31, 17], [31, 18], [31, 24], [31, 25], [31, 26], [31, 27], [31, 28], [31, 31], [31, 32], [31, 35], [31, 38], [31, 39], [31, 46], [31, 49], [32, 2], [32, 4], [32, 5], [32, 7], [32, 9], [32, 10], [32, 11], [32, 13], [32, 14], [32, 18], [32, 21], [32, 23], [32, 24], [32, 26], [32, 27], [32, 28], [32, 31], [32, 32], [32, 34], [32, 36], [32, 37], [32, 38], [32, 39], [32, 43], [32, 45], [32, 46], [32, 47], [32, 49], [33, 4], [33, 10], [33, 13], [33, 14], [33, 18], [33, 20], [33, 23], [33, 27], [33, 28], [33, 30], [33, 33], [33, 37], [33, 38], [33, 39], [33, 40], [33, 43], [33, 45], [33, 47], [34, 2], [34, 3], [34, 4], [34, 5], [34, 7], [34, 9], [34, 10], [34, 11], [34, 13], [34, 18], [34, 22], [34, 23], [34, 25], [34, 27], [34, 28], [34, 32], [34, 34], [34, 35], [34, 36], [34, 37], [34, 38], [34, 39], [34, 43], [34, 47], [34, 49], [35, 4], [35, 9], [35, 10], [35, 12], [35, 13], [35, 14], [35, 15], [35, 17], [35, 18], [35, 20], [35, 21], [35, 22], [35, 23], [35, 24], [35, 26], [35, 27], [35, 28], [35, 29], [35, 31], [35, 33], [35, 34], [35, 35], [35, 37], [35, 38], [35, 39], [35, 40], [35, 42], [35, 43], [35, 44], [35, 45], [35, 46], [35, 47], [35, 49], [36, 1], [36, 2], [36, 4], [36, 6], [36, 10], [36, 15], [36, 20], [36, 24], [36, 27], [36, 34], [36, 36], [36, 37], [36, 38], [36, 39], [36, 44], [36, 45], [37, 2], [37, 3], [37, 4], [37, 6], [37, 9], [37, 10], [37, 11], [37, 13], [37, 14], [37, 18], [37, 21], [37, 23], [37, 26], [37, 28], [37, 29], [37, 32], [37, 36], [37, 37], [37, 38], [37, 39], [37, 42], [38, 1], [38, 2], [38, 3], [38, 4], [38, 5], [38, 7], [38, 9], [38, 10], [38, 11], [38, 12], [38, 13], [38, 14], [38, 15], [38, 17], [38, 18], [38, 20], [38, 21], [38, 23], [38, 24], [38, 26], [38, 27], [38, 28], [38, 30], [38, 31], [38, 32], [38, 33], [38, 35], [38, 37], [38, 38], [38, 39], [38, 40], [38, 43], [38, 44], [38, 45], [38, 46], [38, 47], [38, 49], [39, 3], [39, 4], [39, 9], [39, 10], [39, 11], [39, 12], [39, 13], [39, 14], [39, 15], [39, 17], [39, 18], [39, 20], [39, 21], [39, 23], [39, 25], [39, 26], [39, 28], [39, 29], [39, 30], [39, 33], [39, 34], [39, 35], [39, 36], [39, 37], [39, 38], [39, 39], [39, 40], [39, 43], [39, 45], [39, 47], [39, 49], [40, 1], [40, 2], [40, 3], [40, 4], [40, 5], [40, 11], [40, 13], [40, 20], [40, 28], [40, 30], [40, 33], [40, 35], [40, 38], [40, 39], [40, 40], [40, 44], [40, 47], [40, 49], [41, 8], [41, 19], [41, 41], [41, 42], [41, 50], [42, 2], [42, 6], [42, 7], [42, 9], [42, 15], [42, 17], [42, 21], [42, 26], [42, 28], [42, 29], [42, 35], [42, 42], [42, 48], [42, 50], [43, 2], [43, 4], [43, 6], [43, 9], [43, 10], [43, 12], [43, 13], [43, 14], [43, 15], [43, 17], [43, 18], [43, 19], [43, 20], [43, 21], [43, 23], [43, 26], [43, 27], [43, 28], [43, 32], [43, 33], [43, 35], [43, 36], [43, 38], [43, 39], [43, 41], [43, 42], [43, 43], [43, 45], [43, 48], [43, 49], [44, 14], [44, 15], [44, 20], [44, 31], [44, 38], [44, 40], [44, 44], [44, 45], [44, 46], [45, 1], [45, 4], [45, 7], [45, 9], [45, 10], [45, 12], [45, 13], [45, 14], [45, 17], [45, 18], [45, 20], [45, 23], [45, 24], [45, 26], [45, 27], [45, 28], [45, 30], [45, 33], [45, 35], [45, 36], [45, 38], [45, 39], [45, 40], [45, 43], [45, 44], [45, 45], [45, 47], [46, 7], [46, 14], [46, 18], [46, 23], [46, 24], [46, 28], [46, 32], [46, 34], [46, 46], [46, 47], [47, 3], [47, 7], [47, 10], [47, 11], [47, 13], [47, 14], [47, 18], [47, 20], [47, 23], [47, 24], [47, 28], [47, 30], [47, 33], [47, 35], [47, 38], [47, 39], [47, 40], [47, 44], [47, 45], [47, 46], [47, 47], [48, 6], [48, 8], [48, 16], [48, 19], [48, 21], [48, 26], [48, 41], [48, 42], [48, 43], [48, 48], [48, 50], [49, 7], [49, 10], [49, 11], [49, 12], [49, 14], [49, 15], [49, 17], [49, 18], [49, 20], [49, 26], [49, 28], [49, 29], [49, 31], [49, 35], [49, 38], [49, 39], [49, 40], [49, 45], [49, 47], [49, 49], [50, 15], [50, 24], [50, 27], [50, 41], [50, 42], [50, 50]]",50,908
0.55,554,"[[1, 1], [2, 2], [2, 4], [2, 23], [2, 26], [2, 28], [2, 29], [2, 32], [2, 36], [2, 37], [2, 42], [2, 43], [3, 3], [3, 10], [3, 11], [3, 18], [3, 23], [3, 28], [3, 32], [3, 33], [3, 34], [3, 37], [3, 38], [3, 39], [3, 40], [4, 4], [4, 10], [4, 13], [4, 14], [4, 18], [4, 20], [4, 21], [4, 23], [4, 26], [4, 28], [4, 33], [4, 35], [4, 37], [4, 38], [4, 39], [4, 40], [4, 45], [4, 47], [5, 5], [5, 7], [5, 11], [5, 12], [5, 27], [5, 30], [6, 2], [6, 6], [6, 15], [6, 17], [6, 19], [6, 21], [6, 26], [6, 28], [6, 29], [6, 37], [6, 42], [7, 5], [7, 7], [7, 10], [7, 13], [7, 14], [7, 18], [7, 32], [7, 38], [7, 49], [8, 8], [8, 15], [8, 19], [9, 4], [9, 9], [9, 10], [9, 13], [9, 14], [9, 26], [9, 28], [9, 37], [9, 39], [10, 4], [10, 9], [10, 10], [10, 12], [10, 13], [10, 14], [10, 15], [10, 17], [10, 18], [10, 20], [10, 21], [10, 23], [10, 24], [10, 26], [10, 27], [10, 28], [10, 35], [10, 37], [10, 38], [10, 39], [10, 43], [10, 45], [10, 49], [11, 11], [11, 27], [11, 41], [12, 5], [12, 10], [12, 12], [12, 14], [12, 18], [12, 20], [12, 22], [12, 27], [12, 28], [12, 32], [12, 37], [12, 38], [12, 39], [12, 49], [13, 4], [13, 7], [13, 9], [13, 10], [13, 13], [13, 14], [13, 18], [13, 20], [13, 26], [13, 30], [13, 33], [13, 38], [13, 39], [13, 44], [13, 45], [13, 47], [14, 4], [14, 5], [14, 7], [14, 9], [14, 10], [14, 13], [14, 14], [14, 15], [14, 17], [14, 18], [14, 20], [14, 21], [14, 26], [14, 28], [14, 35], [14, 37], [14, 38], [14, 39], [14, 44], [14, 45], [14, 47], [15, 15], [15, 17], [15, 26], [15, 42], [16, 16], [16, 17], [16, 29], [16, 50], [17, 5], [17, 10], [17, 12], [17, 14], [17, 15], [17, 17], [17, 21], [17, 22], [17, 26], [17, 29], [17, 35], [17, 38], [17, 39], [17, 42], [18, 3], [18, 7], [18, 10], [18, 12], [18, 13], [18, 14], [18, 18], [18, 23], [18, 24], [18, 26], [18, 27], [18, 28], [18, 32], [18, 34], [18, 38], [18, 39], [18, 40], [18, 47], [18, 49], [19, 6], [19, 8], [19, 19], [19, 26], [19, 41], [19, 42], [19, 43], [19, 48], [20, 4], [20, 10], [20, 12], [20, 13], [20, 14], [20, 20], [20, 30], [20, 33], [20, 35], [20, 38], [20, 39], [20, 40], [20, 44], [20, 45], [20, 47], [20, 49], [21, 6], [21, 10], [21, 14], [21, 15], [21, 17], [21, 21], [21, 26], [21, 28], [21, 37], [21, 39], [21, 42], [21, 43], [22, 11], [22, 12], [22, 17], [22, 22], [22, 38], [22, 42], [23, 2], [23, 18], [23, 23], [23, 32], [23, 42], [24, 11], [24, 14], [24, 20], [24, 24], [24, 27], [24, 28], [24, 44], [24, 46], [24, 47], [25, 17], [25, 25], [25, 31], [25, 35], [25, 39], [26, 6], [26, 9], [26, 10], [26, 14], [26, 15], [26, 17], [26, 18], [26, 19], [26, 21], [26, 26], [26, 27], [26, 28], [26, 32], [26, 35], [26, 37], [26, 38], [26, 39], [26, 42], [26, 43], [27, 5], [27, 11], [27, 12], [27, 18], [27, 24], [27, 25], [27, 26], [27, 27], [27, 33], [27, 34], [27, 37], [27, 39], [27, 43], [27, 45], [27, 46], [27, 50], [28, 2], [28, 4], [28, 14], [28, 18], [28, 23], [28, 24], [28, 26], [28, 28], [28, 32], [28, 33], [28, 38], [28, 39], [28, 40], [28, 43], [29, 15], [29, 17], [29, 29], [29, 35], [30, 20], [30, 30], [30, 38], [30, 40], [31, 10], [31, 12], [31, 14], [31, 18], [31, 27], [31, 28], [31, 31], [31, 35], [31, 38], [31, 49], [32, 2], [32, 4], [32, 5], [32, 7], [32, 11], [32, 13], [32, 14], [32, 18], [32, 23], [32, 26], [32, 27], [32, 28], [32, 32], [32, 34], [32, 36], [32, 37], [32, 38], [32, 39], [32, 43], [32, 46], [32, 49], [33, 4], [33, 13], [33, 20], [33, 27], [33, 28], [33, 33], [33, 37], [33, 38], [33, 39], [33, 40], [33, 45], [33, 47], [34, 3], [34, 4], [34, 11], [34, 13], [34, 18], [34, 22], [34, 23], [34, 27], [34, 32], [34, 34], [34, 36], [34, 37], [34, 38], [34, 39], [34, 47], [34, 49], [35, 4], [35, 10], [35, 13], [35, 14], [35, 17], [35, 20], [35, 21], [35, 23], [35, 24], [35, 26], [35, 27], [35, 28], [35, 29], [35, 31], [35, 35], [35, 37], [35, 38], [35, 39], [35, 40], [35, 44], [35, 47], [35, 49], [36, 4], [36, 27], [36, 36], [36, 37], [36, 44], [37, 2], [37, 4], [37, 6], [37, 13], [37, 23], [37, 26], [37, 29], [37, 32], [37, 37], [37, 39], [38, 3], [38, 4], [38, 5], [38, 7], [38, 9], [38, 10], [38, 12], [38, 13], [38, 14], [38, 17], [38, 18], [38, 20], [38, 23], [38, 24], [38, 26], [38, 28], [38, 30], [38, 32], [38, 33], [38, 35], [38, 37], [38, 38], [38, 39], [38, 43], [38, 44], [38, 45], [38, 47], [39, 3], [39, 4], [39, 9], [39, 10], [39, 13], [39, 14], [39, 15], [39, 17], [39, 18], [39, 20], [39, 23], [39, 26], [39, 28], [39, 33], [39, 35], [39, 37], [39, 38], [39, 39], [39, 45], [39, 47], [40, 3], [40, 4], [40, 5], [40, 20], [40, 28], [40, 30], [40, 33], [40, 39], [40, 40], [40, 44], [40, 47], [41, 19], [41, 41], [42, 2], [42, 6], [42, 15], [42, 17], [42, 21], [42, 26], [42, 42], [42, 48], [43, 2], [43, 4], [43, 6], [43, 9], [43, 10], [43, 14], [43, 15], [43, 17], [43, 18], [43, 19], [43, 21], [43, 23], [43, 26], [43, 27], [43, 28], [43, 38], [43, 39], [43, 43], [43, 45], [44, 15], [44, 20], [44, 38], [44, 40], [44, 44], [44, 45], [45, 4], [45, 10], [45, 13], [45, 14], [45, 18], [45, 20], [45, 23], [45, 26], [45, 27], [45, 28], [45, 33], [45, 35], [45, 38], [45, 39], [45, 43], [45, 44], [45, 45], [45, 47], [46, 24], [46, 32], [46, 46], [46, 47], [47, 3], [47, 13], [47, 14], [47, 18], [47, 23], [47, 24], [47, 33], [47, 38], [47, 39], [47, 40], [47, 44], [47, 47], [48, 8], [48, 19], [48, 48], [49, 7], [49, 10], [49, 12], [49, 18], [49, 20], [49, 28], [49, 38], [49, 49], [50, 24], [50, 27], [50, 50]]",50,504
0.6,296,"[[1, 1], [2, 2], [2, 23], [2, 28], [2, 29], [2, 32], [2, 37], [2, 42], [3, 3], [3, 18], [3, 23], [3, 32], [3, 34], [3, 39], [3, 40], [4, 4], [4, 10], [4, 13], [4, 14], [4, 20], [4, 33], [4, 37], [4, 39], [4, 45], [5, 5], [5, 7], [5, 11], [5, 12], [5, 30], [6, 6], [6, 15], [6, 21], [6, 26], [6, 42], [7, 5], [7, 7], [7, 13], [7, 18], [7, 38], [8, 8], [8, 19], [9, 9], [9, 26], [10, 10], [10, 14], [10, 17], [10, 20], [10, 26], [10, 35], [10, 38], [10, 39], [10, 45], [11, 11], [11, 27], [12, 5], [12, 10], [12, 12], [12, 18], [12, 22], [12, 27], [12, 32], [12, 49], [13, 7], [13, 10], [13, 13], [13, 14], [13, 38], [13, 39], [13, 45], [14, 4], [14, 10], [14, 13], [14, 14], [14, 17], [14, 20], [14, 26], [14, 28], [14, 35], [14, 38], [14, 39], [14, 45], [15, 15], [15, 17], [15, 42], [16, 16], [16, 17], [16, 29], [17, 10], [17, 14], [17, 15], [17, 17], [17, 22], [17, 26], [17, 35], [17, 39], [17, 42], [18, 18], [18, 23], [18, 26], [18, 27], [18, 28], [18, 32], [18, 34], [18, 38], [18, 49], [19, 19], [19, 26], [19, 48], [20, 4], [20, 10], [20, 13], [20, 14], [20, 20], [20, 30], [20, 38], [20, 39], [20, 40], [20, 44], [20, 45], [20, 47], [21, 6], [21, 10], [21, 15], [21, 17], [21, 21], [21, 26], [22, 11], [22, 12], [22, 17], [22, 22], [22, 42], [23, 23], [24, 11], [24, 20], [24, 24], [24, 28], [24, 46], [25, 25], [26, 6], [26, 10], [26, 14], [26, 15], [26, 17], [26, 19], [26, 26], [26, 27], [26, 39], [26, 43], [27, 11], [27, 12], [27, 26], [27, 27], [27, 33], [27, 34], [27, 39], [27, 43], [27, 45], [27, 50], [28, 2], [28, 14], [28, 28], [28, 38], [29, 29], [30, 20], [30, 30], [30, 40], [31, 27], [31, 31], [31, 35], [32, 14], [32, 23], [32, 27], [32, 28], [32, 32], [32, 34], [32, 36], [32, 38], [32, 49], [33, 4], [33, 20], [33, 27], [33, 33], [33, 39], [33, 40], [33, 45], [34, 13], [34, 18], [34, 23], [34, 27], [34, 32], [34, 34], [34, 39], [34, 49], [35, 10], [35, 14], [35, 17], [35, 26], [35, 27], [35, 28], [35, 29], [35, 35], [35, 38], [35, 39], [35, 44], [36, 27], [36, 36], [36, 44], [37, 2], [37, 4], [37, 29], [37, 37], [37, 39], [38, 4], [38, 5], [38, 7], [38, 10], [38, 13], [38, 14], [38, 18], [38, 20], [38, 23], [38, 24], [38, 26], [38, 28], [38, 33], [38, 35], [38, 37], [38, 38], [38, 39], [38, 44], [38, 45], [38, 47], [39, 4], [39, 10], [39, 13], [39, 14], [39, 18], [39, 20], [39, 26], [39, 33], [39, 37], [39, 39], [39, 45], [40, 20], [40, 30], [40, 33], [40, 40], [40, 44], [41, 19], [41, 41], [42, 6], [42, 15], [42, 17], [42, 21], [42, 26], [42, 42], [43, 2], [43, 10], [43, 14], [43, 17], [43, 21], [43, 26], [43, 27], [43, 28], [43, 43], [43, 45], [44, 20], [44, 38], [44, 40], [44, 44], [45, 4], [45, 10], [45, 13], [45, 14], [45, 20], [45, 27], [45, 28], [45, 33], [45, 38], [45, 39], [45, 44], [45, 45], [46, 46], [47, 24], [47, 44], [47, 47], [48, 19], [48, 48], [49, 12], [49, 18], [49, 28], [49, 38], [49, 49], [50, 24], [50, 27], [50, 50]]",50,246
0.65,139,"[[1, 1], [2, 2], [2, 37], [3, 3], [3, 23], [4, 4], [4, 13], [4, 39], [5, 5], [5, 7], [5, 11], [5, 12], [6, 6], [7, 7], [7, 13], [8, 8], [8, 19], [9, 9], [10, 10], [10, 14], [10, 20], [10, 38], [10, 39], [10, 45], [11, 11], [12, 5], [12, 12], [12, 22], [12, 27], [12, 49], [13, 13], [13, 39], [14, 10], [14, 14], [14, 38], [14, 39], [15, 15], [15, 17], [15, 42], [16, 16], [17, 15], [17, 17], [17, 22], [17, 26], [18, 18], [18, 23], [18, 32], [18, 38], [19, 19], [20, 10], [20, 20], [20, 38], [20, 39], [20, 45], [21, 21], [22, 11], [22, 12], [22, 17], [22, 22], [23, 23], [24, 11], [24, 20], [24, 24], [25, 25], [26, 15], [26, 17], [26, 26], [27, 12], [27, 27], [27, 43], [27, 45], [28, 28], [29, 29], [30, 30], [31, 27], [31, 31], [32, 23], [32, 32], [32, 38], [32, 49], [33, 27], [33, 33], [34, 18], [34, 27], [34, 32], [34, 34], [35, 10], [35, 14], [35, 17], [35, 26], [35, 27], [35, 35], [35, 39], [36, 27], [36, 36], [36, 44], [37, 2], [37, 37], [38, 10], [38, 13], [38, 14], [38, 20], [38, 24], [38, 38], [38, 39], [38, 44], [38, 45], [38, 47], [39, 10], [39, 13], [39, 37], [39, 39], [40, 40], [40, 44], [41, 41], [42, 15], [42, 42], [43, 2], [43, 26], [43, 28], [43, 43], [44, 20], [44, 40], [44, 44], [45, 10], [45, 14], [45, 20], [45, 27], [45, 38], [45, 39], [45, 45], [46, 46], [47, 24], [47, 47], [48, 19], [48, 48], [49, 12], [49, 49], [50, 50]]",50,89
0.7,84,"[[1, 1], [2, 2], [3, 3], [4, 4], [4, 39], [5, 5], [5, 12], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [10, 14], [10, 39], [11, 11], [12, 5], [12, 12], [12, 22], [12, 27], [13, 13], [13, 39], [14, 14], [14, 38], [14, 39], [15, 15], [16, 16], [17, 15], [17, 17], [17, 22], [17, 26], [18, 18], [19, 19], [20, 20], [21, 21], [22, 12], [22, 17], [22, 22], [23, 23], [24, 11], [24, 20], [24, 24], [25, 25], [26, 26], [27, 12], [27, 27], [27, 45], [28, 28], [29, 29], [30, 30], [31, 27], [31, 31], [32, 32], [33, 27], [33, 33], [34, 34], [35, 27], [35, 35], [36, 27], [36, 36], [36, 44], [37, 37], [38, 10], [38, 13], [38, 14], [38, 24], [38, 38], [38, 45], [39, 39], [40, 40], [40, 44], [41, 41], [42, 42], [43, 26], [43, 43], [44, 40], [44, 44], [45, 27], [45, 45], [46, 46], [47, 24], [47, 47], [48, 48], [49, 49], [50, 50]]",50,34
0.75,61,"[[1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [5, 12], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 5], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20], [21, 21], [22, 12], [22, 22], [23, 23], [24, 11], [24, 20], [24, 24], [25, 25], [26, 26], [27, 27], [28, 28], [29, 29], [30, 30], [31, 31], [32, 32], [33, 33], [34, 34], [35, 27], [35, 35], [36, 27], [36, 36], [36, 44], [37, 37], [38, 38], [38, 45], [39, 39], [40, 40], [40, 44], [41, 41], [42, 42], [43, 43], [44, 40], [44, 44], [45, 45], [46, 46], [47, 47], [48, 48], [49, 49], [50, 50]]",50,11
0.8,52,"[[1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20], [21, 21], [22, 22], [23, 23], [24, 20], [24, 24], [25, 25], [26, 26], [27, 27], [28, 28], [29, 29], [30, 30], [31, 31], [32, 32], [33, 33], [34, 34], [35, 35], [36, 36], [36, 44], [37, 37], [38, 38], [39, 39], [40, 40], [41, 41], [42, 42], [43, 43], [44, 44], [45, 45], [46, 46], [47, 47], [48, 48], [49, 49], [50, 50]]",50,2
0.85,51,"[[1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20], [21, 21], [22, 22], [23, 23], [24, 20], [24, 24], [25, 25], [26, 26], [27, 27], [28, 28], [29, 29], [30, 30], [31, 31], [32, 32], [33, 33], [34, 34], [35, 35], [36, 36], [37, 37], [38, 38], [39, 39], [40, 40], [41, 41], [42, 42], [43, 43], [44, 44], [45, 45], [46, 46], [47, 47], [48, 48], [49, 49], [50, 50]]",50,1
0.9,47,"[[2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20], [21, 21], [22, 22], [24, 24], [25, 25], [26, 26], [27, 27], [28, 28], [29, 29], [30, 30], [31, 31], [33, 33], [34, 34], [35, 35], [36, 36], [37, 37], [38, 38], [39, 39], [40, 40], [41, 41], [42, 42], [43, 43], [44, 44], [45, 45], [46, 46], [47, 47], [48, 48], [49, 49], [50, 50]]",47,0
0.95,30,"[[2, 2], [4, 4], [6, 6], [9, 9], [10, 10], [12, 12], [15, 15], [19, 19], [22, 22], [24, 24], [25, 25], [28, 28], [29, 29], [30, 30], [31, 31], [33, 33], [34, 34], [35, 35], [36, 36], [39, 39], [40, 40], [42, 42], [43, 43], [44, 44], [45, 45], [46, 46], [47, 47], [48, 48], [49, 49], [50, 50]]",30,0
